domain,folder_slug,title,wordpress_slug,status,repository_path
"Sovereignty, Statehood, and Responsibility",self-determination-decolonization-rights-of-peoples,"Self-Determination, Decolonization, and the Rights of Peoples",self-determination-decolonization-and-the-rights-of-peoples,planned,articles/international-law/self-determination-decolonization-rights-of-peoples
"Sovereignty, Statehood, and Responsibility",secession-recognition-contested-statehood,"Secession, Recognition, and Contested Statehood",secession-recognition-and-contested-statehood,planned,articles/international-law/secession-recognition-contested-statehood
"Institutions, Courts, and Dispute Settlement",international-courts-and-tribunals,International Courts and Tribunals,international-courts-and-tribunals,published,articles/international-law/international-courts-and-tribunals
"Institutions, Courts, and Dispute Settlement",united-nations-collective-security,The United Nations and Collective Security,united-nations-collective-security,published,articles/international-law/united-nations-collective-security
"Institutions, Courts, and Dispute Settlement",international-court-of-justice-judicial-settlement-disputes,The International Court of Justice and the Judicial Settlement of Disputes,international-court-of-justice-judicial-settlement-of-disputes,planned,articles/international-law/international-court-of-justice-judicial-settlement-disputes
"Institutions, Courts, and Dispute Settlement",international-organizations-legal-authority-global-institutions,International Organizations and the Legal Authority of Global Institutions,international-organizations-and-the-legal-authority-of-global-institutions,planned,articles/international-law/international-organizations-legal-authority-global-institutions
"Institutions, Courts, and Dispute Settlement",regional-organizations-regional-courts-pluralism-international-law,"Regional Organizations, Regional Courts, and Pluralism in International Law",regional-organizations-regional-courts-and-pluralism-in-international-law,planned,articles/international-law/regional-organizations-regional-courts-pluralism-international-law
"Institutions, Courts, and Dispute Settlement",international-arbitration-peaceful-settlement-disputes,International Arbitration and the Peaceful Settlement of Disputes,international-arbitration-and-the-peaceful-settlement-of-disputes,planned,articles/international-law/international-arbitration-peaceful-settlement-disputes
"Institutions, Courts, and Dispute Settlement",compliance-enforcement-limits-international-adjudication,"Compliance, Enforcement, and the Limits of International Adjudication",compliance-enforcement-and-the-limits-of-international-adjudication,planned,articles/international-law/compliance-enforcement-limits-international-adjudication
Use of Force and International Humanitarian Law,prohibition-use-of-force-international-law,The Prohibition on the Use of Force in International Law,prohibition-on-the-use-of-force-in-international-law,planned,articles/international-law/prohibition-use-of-force-international-law
Use of Force and International Humanitarian Law,self-defense-collective-security-un-charter-framework,"Self-Defense, Collective Security, and the UN Charter Framework",self-defense-collective-security-and-the-un-charter-framework,planned,articles/international-law/self-defense-collective-security-un-charter-framework
Use of Force and International Humanitarian Law,humanitarian-intervention-responsibility-to-protect-limits-sovereignty,"Humanitarian Intervention, Responsibility to Protect, and the Limits of Sovereignty",humanitarian-intervention-responsibility-to-protect-and-the-limits-of-sovereignty,planned,articles/international-law/humanitarian-intervention-responsibility-to-protect-limits-sovereignty
Use of Force and International Humanitarian Law,international-humanitarian-law-geneva-conventions-armed-conflict,International Humanitarian Law: The Geneva Conventions and the Regulation of Armed Conflict,international-humanitarian-law-geneva-conventions-and-the-regulation-of-armed-conflict,planned,articles/international-law/international-humanitarian-law-geneva-conventions-armed-conflict
Use of Force and International Humanitarian Law,law-of-war-distinction-proportionality-necessity-humanity,"The Law of War: Distinction, Proportionality, Necessity, and Humanity",law-of-war-distinction-proportionality-necessity-and-humanity,planned,articles/international-law/law-of-war-distinction-proportionality-necessity-humanity
Use of Force and International Humanitarian Law,occupation-detention-legal-governance-war-torn-territory,"Occupation, Detention, and the Legal Governance of War-Torn Territory",occupation-detention-and-the-legal-governance-of-war-torn-territory,planned,articles/international-law/occupation-detention-legal-governance-war-torn-territory
Use of Force and International Humanitarian Law,weapons-law-prohibited-means-warfare-emerging-military-technologies,"Weapons Law, Prohibited Means of Warfare, and Emerging Military Technologies",weapons-law-prohibited-means-of-warfare-and-emerging-military-technologies,planned,articles/international-law/weapons-law-prohibited-means-warfare-emerging-military-technologies
International Criminal Law,war-crimes-crimes-against-humanity-genocide-architecture-international-criminal-law,"War Crimes, Crimes Against Humanity, Genocide, and the Architecture of International Criminal Law",war-crimes-crimes-against-humanity-genocide-and-the-architecture-of-international-criminal-law,planned,articles/international-law/war-crimes-crimes-against-humanity-genocide-architecture-international-criminal-law
International Criminal Law,international-criminal-court-politics-global-justice,The International Criminal Court and the Politics of Global Justice,international-criminal-court-and-the-politics-of-global-justice,planned,articles/international-law/international-criminal-court-politics-global-justice
International Criminal Law,universal-jurisdiction-accountability-atrocity-crimes,Universal Jurisdiction and Accountability for Atrocity Crimes,universal-jurisdiction-and-accountability-for-atrocity-crimes,planned,articles/international-law/universal-jurisdiction-accountability-atrocity-crimes
International Criminal Law,command-responsibility-individual-criminal-liability-modes-participation,"Command Responsibility, Individual Criminal Liability, and Modes of Participation",command-responsibility-individual-criminal-liability-and-modes-of-participation,planned,articles/international-law/command-responsibility-individual-criminal-liability-modes-participation
International Criminal Law,nuremberg-tokyo-historical-development-international-criminal-justice,"Nuremberg, Tokyo, and the Historical Development of International Criminal Justice",nuremberg-tokyo-and-the-historical-development-of-international-criminal-justice,planned,articles/international-law/nuremberg-tokyo-historical-development-international-criminal-justice
"Human Rights, Refugees, and Protection",human-rights-international-law,Human Rights in International Law,human-rights-international-law,published,articles/international-law/human-rights-international-law
"Human Rights, Refugees, and Protection",international-human-rights-law-foundations-covenants-contemporary-development,"International Human Rights Law: Foundations, Covenants, and Contemporary Development",international-human-rights-law-foundations-covenants-and-contemporary-development,planned,articles/international-law/international-human-rights-law-foundations-covenants-contemporary-development
"Human Rights, Refugees, and Protection",civil-political-rights-international-law,Civil and Political Rights in International Law,civil-and-political-rights-in-international-law,planned,articles/international-law/civil-political-rights-international-law
"Human Rights, Refugees, and Protection",economic-social-cultural-rights-international-law,"Economic, Social, and Cultural Rights in International Law",economic-social-and-cultural-rights-in-international-law,planned,articles/international-law/economic-social-cultural-rights-international-law
"Human Rights, Refugees, and Protection",womens-rights-gender-equality-international-legal-protection,"Women’s Rights, Gender Equality, and International Legal Protection",womens-rights-gender-equality-and-international-legal-protection,planned,articles/international-law/womens-rights-gender-equality-international-legal-protection
"Human Rights, Refugees, and Protection",minority-rights-indigenous-rights-cultural-protection,"Minority Rights, Indigenous Rights, and Cultural Protection",minority-rights-indigenous-rights-and-cultural-protection,planned,articles/international-law/minority-rights-indigenous-rights-cultural-protection
"Human Rights, Refugees, and Protection",refugee-law-asylum-non-refoulement,"Refugee Law, Asylum, and the Principle of Non-Refoulement",refugee-law-asylum-and-the-principle-of-non-refoulement,planned,articles/international-law/refugee-law-asylum-non-refoulement
"Human Rights, Refugees, and Protection",statelessness-nationality-international-protection,"Statelessness, Nationality, and International Protection",statelessness-nationality-and-international-protection,planned,articles/international-law/statelessness-nationality-international-protection
"Global Commons, Environment, and Economic Order",law-of-the-sea-unclos,Law of the Sea (UNCLOS),law-of-the-sea-unclos,published,articles/international-law/law-of-the-sea-unclos
"Global Commons, Environment, and Economic Order",high-seas-deep-seabed-governance-global-commons,"The High Seas, Deep Seabed Governance, and the Global Commons",high-seas-deep-seabed-governance-and-the-global-commons,planned,articles/international-law/high-seas-deep-seabed-governance-global-commons
"Global Commons, Environment, and Economic Order",international-environmental-law-governance-planetary-risk,International Environmental Law and the Governance of Planetary Risk,international-environmental-law-and-the-governance-of-planetary-risk,planned,articles/international-law/international-environmental-law-governance-planetary-risk
"Global Commons, Environment, and Economic Order",climate-change-law-treaties-legal-politics-decarbonization,"Climate Change Law, Treaties, and the Legal Politics of Decarbonization",climate-change-law-treaties-and-the-legal-politics-of-decarbonization,planned,articles/international-law/climate-change-law-treaties-legal-politics-decarbonization
"Global Commons, Environment, and Economic Order",common-but-differentiated-responsibilities-environmental-burden-sharing,Common but Differentiated Responsibilities and the Politics of Environmental Burden Sharing,common-but-differentiated-responsibilities-and-the-politics-of-environmental-burden-sharing,planned,articles/international-law/common-but-differentiated-responsibilities-environmental-burden-sharing
"Global Commons, Environment, and Economic Order",international-trade-law-legal-order-global-commerce,International Trade Law and the Legal Order of Global Commerce,international-trade-law-and-the-legal-order-of-global-commerce,planned,articles/international-law/international-trade-law-legal-order-global-commerce
"Global Commons, Environment, and Economic Order",investment-treaties-investor-state-dispute-settlement-regulatory-sovereignty,"Investment Treaties, Investor-State Dispute Settlement, and Regulatory Sovereignty",investment-treaties-investor-state-dispute-settlement-and-regulatory-sovereignty,planned,articles/international-law/investment-treaties-investor-state-dispute-settlement-regulatory-sovereignty
"Global Commons, Environment, and Economic Order",development-inequality-structural-asymmetry-international-economic-law,"Development, Inequality, and Structural Asymmetry in International Economic Law",development-inequality-and-structural-asymmetry-in-international-economic-law,planned,articles/international-law/development-inequality-structural-asymmetry-international-economic-law
"Specialized, Emerging, and Critical Domains",international-health-law-pandemics-global-public-health-coordination,"International Health Law, Pandemics, and Global Public Health Coordination",international-health-law-pandemics-and-global-public-health-coordination,planned,articles/international-law/international-health-law-pandemics-global-public-health-coordination
"Specialized, Emerging, and Critical Domains",international-space-law-governance-outer-space,International Space Law and the Governance of Outer Space,international-space-law-and-the-governance-of-outer-space,planned,articles/international-law/international-space-law-governance-outer-space
"Specialized, Emerging, and Critical Domains",cyber-operations-digital-sovereignty-international-law-information-age,"Cyber Operations, Digital Sovereignty, and International Law in the Information Age",cyber-operations-digital-sovereignty-and-international-law-in-the-information-age,planned,articles/international-law/cyber-operations-digital-sovereignty-international-law-information-age
"Specialized, Emerging, and Critical Domains",soft-law-norm-entrepreneurship-informal-international-governance,"Soft Law, Norm Entrepreneurship, and Informal International Governance",soft-law-norm-entrepreneurship-and-informal-international-governance,planned,articles/international-law/soft-law-norm-entrepreneurship-informal-international-governance
"Specialized, Emerging, and Critical Domains",power-inequality-critique-international-law,"Power, Inequality, and the Critique of International Law",power-inequality-and-the-critique-of-international-law,planned,articles/international-law/power-inequality-critique-international-law
"Specialized, Emerging, and Critical Domains",empire-decolonization-making-international-law,"Empire, Decolonization, and the Making of International Law",empire-decolonization-and-the-making-of-international-law,planned,articles/international-law/empire-decolonization-making-international-law
"Specialized, Emerging, and Critical Domains",gender-violence-public-private-divide-international-law,"Gender, Violence, and the Public/Private Divide in International Law",gender-violence-and-the-public-private-divide-in-international-law,planned,articles/international-law/gender-violence-public-private-divide-international-law
"Specialized, Emerging, and Critical Domains",future-international-law-fragmentation-multipolarity-planetary-crisis,"The Future of International Law in an Age of Fragmentation, Multipolarity, and Planetary Crisis",future-of-international-law-fragmentation-multipolarity-and-planetary-crisis,planned,articles/international-law/future-international-law-fragmentation-multipolarity-planetary-crisis
