article_id,title,status,domain,wordpress_slug,canonical_url,repository_path,github_url
fragmentation-and-coherence,Fragmentation and Coherence in International Legal Order,published,Foundations,fragmentation-and-coherence-in-international-legal-order,https://sustainablecatalyst.com/fragmentation-and-coherence-in-international-legal-order/,articles/international-law/fragmentation-and-coherence,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/fragmentation-and-coherence
future-international-law-fragmentation-multipolarity-planetary-crisis,"The Future of International Law in an Age of Fragmentation, Multipolarity, and Planetary Crisis",planned,"Specialized, Emerging, and Critical Domains",future-of-international-law-fragmentation-multipolarity-and-planetary-crisis,https://sustainablecatalyst.com/future-of-international-law-fragmentation-multipolarity-and-planetary-crisis/,articles/international-law/future-international-law-fragmentation-multipolarity-planetary-crisis,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/future-international-law-fragmentation-multipolarity-planetary-crisis
gender-violence-public-private-divide-international-law,"Gender, Violence, and the Public/Private Divide in International Law",planned,"Specialized, Emerging, and Critical Domains",gender-violence-and-the-public-private-divide-in-international-law,https://sustainablecatalyst.com/gender-violence-public-private-divide-international-law/,articles/international-law/gender-violence-public-private-divide-international-law,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/gender-violence-public-private-divide-international-law
general-principles-of-law,General Principles of Law in International Legal Order,published,Foundations,general-principles-of-law-in-international-legal-order,https://sustainablecatalyst.com/general-principles-of-law-in-international-legal-order/,articles/international-law/general-principles-of-law,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/general-principles-of-law
high-seas-deep-seabed-governance-global-commons,"The High Seas, Deep Seabed Governance, and the Global Commons",planned,"Global Commons, Environment, and Economic Order",high-seas-deep-seabed-governance-and-the-global-commons,https://sustainablecatalyst.com/high-seas-deep-seabed-governance-and-the-global-commons/,articles/international-law/high-seas-deep-seabed-governance-global-commons,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/high-seas-deep-seabed-governance-global-commons
human-rights-international-law,Human Rights in International Law,published,Human Rights,human-rights-international-law,https://sustainablecatalyst.com/human-rights-international-law/,articles/international-law/human-rights-international-law,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/human-rights-international-law
humanitarian-intervention-responsibility-to-protect-limits-sovereignty,"Humanitarian Intervention, Responsibility to Protect, and the Limits of Sovereignty",planned,Use of Force and International Humanitarian Law,humanitarian-intervention-responsibility-to-protect-and-the-limits-of-sovereignty,https://sustainablecatalyst.com/humanitarian-intervention-responsibility-to-protect-and-the-limits-of-sovereignty/,articles/international-law/humanitarian-intervention-responsibility-to-protect-limits-sovereignty,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/humanitarian-intervention-responsibility-to-protect-limits-sovereignty
international-arbitration-peaceful-settlement-disputes,International Arbitration and the Peaceful Settlement of Disputes,planned,"Institutions, Courts, and Dispute Settlement",international-arbitration-and-the-peaceful-settlement-of-disputes,https://sustainablecatalyst.com/international-arbitration-and-the-peaceful-settlement-of-disputes/,articles/international-law/international-arbitration-peaceful-settlement-disputes,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/international-arbitration-peaceful-settlement-disputes
international-court-of-justice-judicial-settlement-disputes,The International Court of Justice and the Judicial Settlement of Disputes,planned,"Institutions, Courts, and Dispute Settlement",international-court-of-justice-judicial-settlement-of-disputes,https://sustainablecatalyst.com/international-court-of-justice-judicial-settlement-of-disputes/,articles/international-law/international-court-of-justice-judicial-settlement-disputes,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/international-court-of-justice-judicial-settlement-disputes
international-courts-and-tribunals,International Courts and Tribunals,published,Dispute Settlement,international-courts-and-tribunals,https://sustainablecatalyst.com/international-courts-and-tribunals/,articles/international-law/international-courts-and-tribunals,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/international-courts-and-tribunals
international-criminal-court-politics-global-justice,The International Criminal Court and the Politics of Global Justice,planned,International Criminal Law,international-criminal-court-and-the-politics-of-global-justice,https://sustainablecatalyst.com/international-criminal-court-and-the-politics-of-global-justice/,articles/international-law/international-criminal-court-politics-global-justice,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/international-criminal-court-politics-global-justice
international-environmental-law-governance-planetary-risk,International Environmental Law and the Governance of Planetary Risk,planned,"Global Commons, Environment, and Economic Order",international-environmental-law-and-the-governance-of-planetary-risk,https://sustainablecatalyst.com/international-environmental-law-and-the-governance-of-planetary-risk/,articles/international-law/international-environmental-law-governance-planetary-risk,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/international-environmental-law-governance-planetary-risk
international-health-law-pandemics-global-public-health-coordination,"International Health Law, Pandemics, and Global Public Health Coordination",planned,"Specialized, Emerging, and Critical Domains",international-health-law-pandemics-and-global-public-health-coordination,https://sustainablecatalyst.com/international-health-law-pandemics-and-global-public-health-coordination/,articles/international-law/international-health-law-pandemics-global-public-health-coordination,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/international-health-law-pandemics-global-public-health-coordination
international-human-rights-law-foundations-covenants-contemporary-development,"International Human Rights Law: Foundations, Covenants, and Contemporary Development",planned,"Human Rights, Refugees, and Protection",international-human-rights-law-foundations-covenants-and-contemporary-development,https://sustainablecatalyst.com/international-human-rights-law-foundations-covenants-and-contemporary-development/,articles/international-law/international-human-rights-law-foundations-covenants-contemporary-development,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/international-human-rights-law-foundations-covenants-contemporary-development
international-humanitarian-law-geneva-conventions-armed-conflict,International Humanitarian Law: The Geneva Conventions and the Regulation of Armed Conflict,planned,Use of Force and International Humanitarian Law,international-humanitarian-law-geneva-conventions-and-the-regulation-of-armed-conflict,https://sustainablecatalyst.com/international-humanitarian-law-geneva-conventions-and-the-regulation-of-armed-conflict/,articles/international-law/international-humanitarian-law-geneva-conventions-armed-conflict,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/international-humanitarian-law-geneva-conventions-armed-conflict
international-organizations-legal-authority-global-institutions,International Organizations and the Legal Authority of Global Institutions,planned,"Institutions, Courts, and Dispute Settlement",international-organizations-and-the-legal-authority-of-global-institutions,https://sustainablecatalyst.com/international-organizations-and-the-legal-authority-of-global-institutions/,articles/international-law/international-organizations-legal-authority-global-institutions,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/international-organizations-legal-authority-global-institutions
international-space-law-governance-outer-space,International Space Law and the Governance of Outer Space,planned,"Specialized, Emerging, and Critical Domains",international-space-law-and-the-governance-of-outer-space,https://sustainablecatalyst.com/international-space-law-and-the-governance-of-outer-space/,articles/international-law/international-space-law-governance-outer-space,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/international-space-law-governance-outer-space
international-trade-law-legal-order-global-commerce,International Trade Law and the Legal Order of Global Commerce,planned,"Global Commons, Environment, and Economic Order",international-trade-law-and-the-legal-order-of-global-commerce,https://sustainablecatalyst.com/international-trade-law-and-the-legal-order-of-global-commerce/,articles/international-law/international-trade-law-legal-order-global-commerce,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/international-trade-law-legal-order-global-commerce
introduction-to-international-law,Introduction to International Law,published,Foundational Doctrine,introduction-to-international-law,https://sustainablecatalyst.com/introduction-to-international-law/,articles/international-law/introduction-to-international-law,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/introduction-to-international-law
investment-treaties-investor-state-dispute-settlement-regulatory-sovereignty,"Investment Treaties, Investor-State Dispute Settlement, and Regulatory Sovereignty",planned,"Global Commons, Environment, and Economic Order",investment-treaties-investor-state-dispute-settlement-and-regulatory-sovereignty,https://sustainablecatalyst.com/investment-treaties-investor-state-dispute-settlement-and-regulatory-sovereignty/,articles/international-law/investment-treaties-investor-state-dispute-settlement-regulatory-sovereignty,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/investment-treaties-investor-state-dispute-settlement-regulatory-sovereignty
jurisdiction-in-international-law,"Jurisdiction in International Law: Territoriality, Nationality, Universality, and Extraterritorial Reach",published,Foundational Doctrine,jurisdiction-in-international-law-territoriality-nationality-universality-extraterritorial-reach,https://sustainablecatalyst.com/jurisdiction-in-international-law-territoriality-nationality-universality-extraterritorial-reach/,articles/international-law/jurisdiction-in-international-law,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/jurisdiction-in-international-law
jus-cogens-erga-omnes,"Jus Cogens, Erga Omnes, and Peremptory Norms in International Law",published,Foundations,jus-cogens-erga-omnes-and-peremptory-norms-in-international-law,https://sustainablecatalyst.com/jus-cogens-erga-omnes-and-peremptory-norms-in-international-law/,articles/international-law/jus-cogens-erga-omnes,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/jus-cogens-erga-omnes
law-of-the-sea-unclos,Law of the Sea (UNCLOS),published,Ocean Governance,law-of-the-sea-unclos,https://sustainablecatalyst.com/law-of-the-sea-unclos/,articles/international-law/law-of-the-sea-unclos,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/law-of-the-sea-unclos
law-of-war-distinction-proportionality-necessity-humanity,"The Law of War: Distinction, Proportionality, Necessity, and Humanity",planned,Use of Force and International Humanitarian Law,law-of-war-distinction-proportionality-necessity-and-humanity,https://sustainablecatalyst.com/law-of-war-distinction-proportionality-necessity-and-humanity/,articles/international-law/law-of-war-distinction-proportionality-necessity-humanity,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/law-of-war-distinction-proportionality-necessity-humanity
minority-rights-indigenous-rights-cultural-protection,"Minority Rights, Indigenous Rights, and Cultural Protection",planned,"Human Rights, Refugees, and Protection",minority-rights-indigenous-rights-and-cultural-protection,https://sustainablecatalyst.com/minority-rights-indigenous-rights-and-cultural-protection/,articles/international-law/minority-rights-indigenous-rights-cultural-protection,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/minority-rights-indigenous-rights-cultural-protection
nuremberg-tokyo-historical-development-international-criminal-justice,"Nuremberg, Tokyo, and the Historical Development of International Criminal Justice",planned,International Criminal Law,nuremberg-tokyo-and-the-historical-development-of-international-criminal-justice,https://sustainablecatalyst.com/nuremberg-tokyo-and-the-historical-development-of-international-criminal-justice/,articles/international-law/nuremberg-tokyo-historical-development-international-criminal-justice,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/nuremberg-tokyo-historical-development-international-criminal-justice
occupation-detention-legal-governance-war-torn-territory,"Occupation, Detention, and the Legal Governance of War-Torn Territory",planned,Use of Force and International Humanitarian Law,occupation-detention-and-the-legal-governance-of-war-torn-territory,https://sustainablecatalyst.com/occupation-detention-and-the-legal-governance-of-war-torn-territory/,articles/international-law/occupation-detention-legal-governance-war-torn-territory,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/occupation-detention-legal-governance-war-torn-territory
power-inequality-critique-international-law,"Power, Inequality, and the Critique of International Law",planned,"Specialized, Emerging, and Critical Domains",power-inequality-and-the-critique-of-international-law,https://sustainablecatalyst.com/power-inequality-and-the-critique-of-international-law/,articles/international-law/power-inequality-critique-international-law,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/power-inequality-critique-international-law
prohibition-use-of-force-international-law,The Prohibition on the Use of Force in International Law,planned,Use of Force and International Humanitarian Law,prohibition-on-the-use-of-force-in-international-law,https://sustainablecatalyst.com/prohibition-on-the-use-of-force-in-international-law/,articles/international-law/prohibition-use-of-force-international-law,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/prohibition-use-of-force-international-law
public-vs-private-international-law,Public vs Private International Law,published,Foundational Doctrine,public-vs-private-international-law,https://sustainablecatalyst.com/public-vs-private-international-law/,articles/international-law/public-vs-private-international-law,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/public-vs-private-international-law
refugee-law-asylum-non-refoulement,"Refugee Law, Asylum, and the Principle of Non-Refoulement",planned,"Human Rights, Refugees, and Protection",refugee-law-asylum-and-the-principle-of-non-refoulement,https://sustainablecatalyst.com/refugee-law-asylum-and-the-principle-of-non-refoulement/,articles/international-law/refugee-law-asylum-non-refoulement,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/refugee-law-asylum-non-refoulement
regional-organizations-regional-courts-pluralism-international-law,"Regional Organizations, Regional Courts, and Pluralism in International Law",planned,"Institutions, Courts, and Dispute Settlement",regional-organizations-regional-courts-and-pluralism-in-international-law,https://sustainablecatalyst.com/regional-organizations-regional-courts-and-pluralism-in-international-law/,articles/international-law/regional-organizations-regional-courts-pluralism-international-law,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/regional-organizations-regional-courts-pluralism-international-law
reservations-interpretation-validity,"Reservations, Interpretation, and Validity in Treaty Law",published,Foundations,reservations-interpretation-and-validity-in-treaty-law,https://sustainablecatalyst.com/reservations-interpretation-and-validity-in-treaty-law/,articles/international-law/reservations-interpretation-validity,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/reservations-interpretation-validity
secession-recognition-contested-statehood,"Secession, Recognition, and Contested Statehood",planned,"Sovereignty, Statehood, and Responsibility",secession-recognition-and-contested-statehood,https://sustainablecatalyst.com/secession-recognition-contested-statehood/,articles/international-law/secession-recognition-contested-statehood,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/secession-recognition-contested-statehood
self-defense-collective-security-un-charter-framework,"Self-Defense, Collective Security, and the UN Charter Framework",planned,Use of Force and International Humanitarian Law,self-defense-collective-security-and-the-un-charter-framework,https://sustainablecatalyst.com/self-defense-collective-security-and-the-un-charter-framework/,articles/international-law/self-defense-collective-security-un-charter-framework,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/self-defense-collective-security-un-charter-framework
self-determination-decolonization-rights-of-peoples,"Self-Determination, Decolonization, and the Rights of Peoples",planned,"Sovereignty, Statehood, and Responsibility",self-determination-decolonization-and-the-rights-of-peoples,https://sustainablecatalyst.com/self-determination-decolonization-and-the-rights-of-peoples/,articles/international-law/self-determination-decolonization-rights-of-peoples,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/self-determination-decolonization-rights-of-peoples
soft-law-norm-entrepreneurship-informal-international-governance,"Soft Law, Norm Entrepreneurship, and Informal International Governance",planned,"Specialized, Emerging, and Critical Domains",soft-law-norm-entrepreneurship-and-informal-international-governance,https://sustainablecatalyst.com/soft-law-norm-entrepreneurship-and-informal-international-governance/,articles/international-law/soft-law-norm-entrepreneurship-informal-international-governance,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/soft-law-norm-entrepreneurship-informal-international-governance
sources-of-international-law,Sources of International Law,published,Foundations,sources-of-international-law,https://sustainablecatalyst.com/sources-of-international-law/,articles/international-law/sources-of-international-law,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/sources-of-international-law
sovereignty-jurisdiction-non-intervention,"Sovereignty, Jurisdiction, and Non-Intervention in International Law",published,Sovereignty,sovereignty-jurisdiction-non-intervention-international-law,https://sustainablecatalyst.com/sovereignty-jurisdiction-non-intervention-international-law/,articles/international-law/sovereignty-jurisdiction-non-intervention,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/sovereignty-jurisdiction-non-intervention
state-immunity-diplomatic-immunity-official-functions,"State Immunity, Diplomatic Immunity, and the Legal Protection of Official Functions",published,Immunities and Official Functions,state-immunity-diplomatic-immunity-official-functions-international-law,https://sustainablecatalyst.com/state-immunity-diplomatic-immunity-official-functions-international-law/,articles/international-law/state-immunity-diplomatic-immunity-official-functions,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/state-immunity-diplomatic-immunity-official-functions
state-responsibility,State Responsibility in International Law,published,Responsibility,state-responsibility-international-law,https://sustainablecatalyst.com/state-responsibility-international-law/,articles/international-law/state-responsibility,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/state-responsibility
statehood-recognition-legal-personality,"Statehood, Recognition, and Legal Personality in International Law",published,Sovereignty,statehood-recognition-and-legal-personality-in-international-law,https://sustainablecatalyst.com/statehood-recognition-and-legal-personality-in-international-law/,articles/international-law/statehood-recognition-legal-personality,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/statehood-recognition-legal-personality
statelessness-nationality-international-protection,"Statelessness, Nationality, and International Protection",planned,"Human Rights, Refugees, and Protection",statelessness-nationality-and-international-protection,https://sustainablecatalyst.com/statelessness-nationality-and-international-protection/,articles/international-law/statelessness-nationality-international-protection,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/statelessness-nationality-international-protection
territory-borders-boundary-disputes,"Territory, Borders, and Boundary Disputes in International Law",draft,Foundational Doctrine,territory-borders-boundary-disputes-international-law,https://sustainablecatalyst.com/territory-borders-boundary-disputes-international-law/,articles/international-law/territory-borders-boundary-disputes,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/territory-borders-boundary-disputes
treaty-law,Treaty Law,published,Foundations,treaty-law-vienna-convention,https://sustainablecatalyst.com/treaty-law-vienna-convention/,articles/international-law/treaty-law,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/treaty-law
united-nations-collective-security,United Nations Collective Security,published,Peace and Security,united-nations-collective-security,https://sustainablecatalyst.com/united-nations-collective-security/,articles/international-law/united-nations-collective-security,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/united-nations-collective-security
universal-jurisdiction-accountability-atrocity-crimes,Universal Jurisdiction and Accountability for Atrocity Crimes,planned,International Criminal Law,universal-jurisdiction-and-accountability-for-atrocity-crimes,https://sustainablecatalyst.com/universal-jurisdiction-and-accountability-for-atrocity-crimes/,articles/international-law/universal-jurisdiction-accountability-atrocity-crimes,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/universal-jurisdiction-accountability-atrocity-crimes
war-crimes-crimes-against-humanity-genocide-architecture-international-criminal-law,"War Crimes, Crimes Against Humanity, Genocide, and the Architecture of International Criminal Law",planned,International Criminal Law,war-crimes-crimes-against-humanity-genocide-and-the-architecture-of-international-criminal-law,https://sustainablecatalyst.com/war-crimes-crimes-against-humanity-genocide-and-the-architecture-of-international-criminal-law/,articles/international-law/war-crimes-crimes-against-humanity-genocide-architecture-international-criminal-law,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/war-crimes-crimes-against-humanity-genocide-architecture-international-criminal-law
weapons-law-prohibited-means-warfare-emerging-military-technologies,"Weapons Law, Prohibited Means of Warfare, and Emerging Military Technologies",planned,Use of Force and International Humanitarian Law,weapons-law-prohibited-means-of-warfare-and-emerging-military-technologies,https://sustainablecatalyst.com/weapons-law-prohibited-means-of-warfare-and-emerging-military-technologies/,articles/international-law/weapons-law-prohibited-means-warfare-emerging-military-technologies,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/weapons-law-prohibited-means-warfare-emerging-military-technologies
westphalian-system-state-sovereignty,The Westphalian System and State Sovereignty,published,Sovereignty,westphalian-system-state-sovereignty,https://sustainablecatalyst.com/westphalian-system-state-sovereignty/,articles/international-law/westphalian-system-state-sovereignty,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/westphalian-system-state-sovereignty
womens-rights-gender-equality-international-legal-protection,"Women’s Rights, Gender Equality, and International Legal Protection",planned,"Human Rights, Refugees, and Protection",womens-rights-gender-equality-and-international-legal-protection,https://sustainablecatalyst.com/womens-rights-gender-equality-and-international-legal-protection/,articles/international-law/womens-rights-gender-equality-international-legal-protection,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/womens-rights-gender-equality-international-legal-protection
