article_id,title,has_metadata,has_primary_sources,has_secondary_sources,primary_header,secondary_header,catalyst_data_ready,notes,article_slug,article_title,status,primary_sources_csv,secondary_sources_csv,metadata_json,article_html,updated_at
international-human-rights-law-foundations-covenants-contemporary-development,"International Human Rights Law: Foundations, Covenants, and Contemporary Development",yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
international-humanitarian-law-geneva-conventions-armed-conflict,International Humanitarian Law: The Geneva Conventions and the Regulation of Armed Conflict,yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
international-organizations-legal-authority-global-institutions,International Organizations and the Legal Authority of Global Institutions,yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
international-space-law-governance-outer-space,International Space Law and the Governance of Outer Space,yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
international-trade-law-legal-order-global-commerce,International Trade Law and the Legal Order of Global Commerce,yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
introduction-to-international-law,Introduction to International Law,yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
investment-treaties-investor-state-dispute-settlement-regulatory-sovereignty,"Investment Treaties, Investor-State Dispute Settlement, and Regulatory Sovereignty",yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
jurisdiction-in-international-law,"Jurisdiction in International Law: Territoriality, Nationality, Universality, and Extraterritorial Reach",yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
jus-cogens-erga-omnes,"Jus Cogens, Erga Omnes, and Peremptory Norms in International Law",yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
law-of-the-sea-unclos,Law of the Sea (UNCLOS),yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
law-of-war-distinction-proportionality-necessity-humanity,"The Law of War: Distinction, Proportionality, Necessity, and Humanity",yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
minority-rights-indigenous-rights-cultural-protection,"Minority Rights, Indigenous Rights, and Cultural Protection",yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
nuremberg-tokyo-historical-development-international-criminal-justice,"Nuremberg, Tokyo, and the Historical Development of International Criminal Justice",yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
occupation-detention-legal-governance-war-torn-territory,"Occupation, Detention, and the Legal Governance of War-Torn Territory",yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
power-inequality-critique-international-law,"Power, Inequality, and the Critique of International Law",yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
prohibition-use-of-force-international-law,The Prohibition on the Use of Force in International Law,yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
public-vs-private-international-law,Public vs Private International Law,yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
refugee-law-asylum-non-refoulement,"Refugee Law, Asylum, and the Principle of Non-Refoulement",yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
regional-organizations-regional-courts-pluralism-international-law,"Regional Organizations, Regional Courts, and Pluralism in International Law",yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
reservations-interpretation-validity,"Reservations, Interpretation, and Validity in Treaty Law",yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
secession-recognition-contested-statehood,"Secession, Recognition, and Contested Statehood",yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
self-defense-collective-security-un-charter-framework,"Self-Defense, Collective Security, and the UN Charter Framework",yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
self-determination-decolonization-rights-of-peoples,"Self-Determination, Decolonization, and the Rights of Peoples",yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
soft-law-norm-entrepreneurship-informal-international-governance,"Soft Law, Norm Entrepreneurship, and Informal International Governance",yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
sources-of-international-law,Sources of International Law,yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
sovereignty-jurisdiction-non-intervention,"Sovereignty, Jurisdiction, and Non-Intervention in International Law",yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
state-immunity-diplomatic-immunity-official-functions,"State Immunity, Diplomatic Immunity, and the Legal Protection of Official Functions",yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
state-responsibility,State Responsibility in International Law,yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
statehood-recognition-legal-personality,"Statehood, Recognition, and Legal Personality in International Law",yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
statelessness-nationality-international-protection,"Statelessness, Nationality, and International Protection",yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
territory-borders-boundary-disputes,"Territory, Borders, and Boundary Disputes in International Law",yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
treaty-law,Treaty Law,yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
united-nations-collective-security,United Nations Collective Security,yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
universal-jurisdiction-accountability-atrocity-crimes,Universal Jurisdiction and Accountability for Atrocity Crimes,yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
war-crimes-crimes-against-humanity-genocide-architecture-international-criminal-law,"War Crimes, Crimes Against Humanity, Genocide, and the Architecture of International Criminal Law",yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
weapons-law-prohibited-means-warfare-emerging-military-technologies,"Weapons Law, Prohibited Means of Warfare, and Emerging Military Technologies",yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
westphalian-system-state-sovereignty,The Westphalian System and State Sovereignty,yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
womens-rights-gender-equality-international-legal-protection,"Women’s Rights, Gender Equality, and International Legal Protection",yes,yes,yes,"source_id,source_title,source_type,institution,year,url,notes","source_id,author,year,title,publisher,url,notes",yes,Normalized article source CSVs and export map generated.,,,,,,,,
,,,,,,,,Added International Organizations article folder and upserted Catalyst Data export rows.,international-organizations-legal-authority-global-institutions,International Organizations and the Legal Authority of Global Institutions,catalyst_data_ready,standard,standard,present,present,2026-06-24
